pheno_code  phenotype   estimated_h2
3148_raw    Heel bone mineral density (BMD) 0.318
50_raw  Height  0.485
21001_raw   Body mass index (BMI)   0.249
100460  Added milk to standard tea  -0.0204
3731    Former alcohol drinker
30140_raw   Neutrophill count
